case_id,case_score,case_outlier,iso_outlier
11671975,0.968,False,False
11672847,0.654,False,False
11692969,0.64,True,False
11693758,0.533,True,False
11717358,0.698,False,False
11718797,0.594,True,False
11728349,0.608,True,False
11740950,0.692,False,False
11761793,0.601,True,False
11763696,0.759,True,False
11764592,0.63,True,False
11769178,0.639,True,False
11771811,0.713,False,False
11773492,0.653,True,False
11776310,0.975,False,False
11790863,0.966,False,False
11796536,0.715,False,False
11800518,0.604,True,False
11838432,0.691,False,False
11883459,0.667,False,False
11905158,0.711,False,False
11908901,0.591,True,False
11944113,0.704,False,False
11952350,0.695,True,False
11955621,0.654,False,False
11957799,0.686,True,False
11958749,0.605,True,False
11986570,0.637,True,False
12002717,0.96,False,False
12005042,0.705,False,False
12009243,0.617,True,False
12027017,0.96,False,False
12030213,0.691,False,False
12031806,0.715,False,False
12033154,0.619,True,False
12035087,0.652,True,False
12057660,0.711,False,False
12062422,0.716,False,False
12064182,0.959,False,False
12092469,0.976,False,False
12095670,0.96,False,False
12096555,0.979,False,False
12105877,0.713,False,False
12113617,0.664,False,False
12115434,0.679,False,False
12135943,0.543,True,True
12148183,0.715,False,False
12149040,0.716,False,False
12152305,0.957,False,False
12153536,0.706,False,False
12181438,0.671,False,False
12189231,0.979,False,False
12193737,0.66,False,False
12227335,0.628,True,False
12228771,0.697,False,False
12229496,0.95,False,False
12230542,0.693,False,False
12232106,0.74,False,False
12239409,0.979,False,False
12260058,0.672,False,False
12262928,0.719,False,False
12306351,0.66,False,False
12351978,0.96,False,False
12375177,0.741,False,False
12391180,0.975,False,False
12391961,0.634,True,False
12454586,0.952,False,False
12464456,0.971,False,False
12467304,0.966,False,False
12492057,0.95,True,False
12516805,0.97,False,False
12518260,0.618,True,False
12529013,0.693,False,False
12536339,0.704,False,False
12539945,0.632,True,False
12541228,0.645,True,False
12544157,0.971,False,False
12545301,0.965,False,False
12551070,0.821,False,False
12555928,0.954,False,False
12566447,0.633,True,False
12589769,0.59,True,False
12592500,0.969,False,False
12593630,0.708,False,False
12594402,0.708,False,False
12595217,0.708,False,False
12599420,0.966,False,False
12601705,0.664,False,False
12606445,0.65,True,False
12616015,0.709,False,False
12626183,0.968,False,False
12626453,0.966,False,False
12639152,0.708,False,False
